Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
T033-B2SalBAL-PBmiRNA_S17_R1_001	pass	0.0	warn	78.7963405578	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	37331154.0	pass	warn	warn	46.0	53.2636863366	T033-B2SalBAL-PBmiRNA_S17_R1_001.merged.trimmed.fq.gz	pass	pass
T034-B-SingleRNABAL-miRNA_S22_R1_001	pass	0.0	warn	78.5720708819	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	33386611.0	pass	warn	warn	45.0	66.6142636756	T034-B-SingleRNABAL-miRNA_S22_R1_001.merged.trimmed.fq.gz	pass	pass
T035-B1BALRNA-PBmiRNA_S6_R1_001	pass	0.0	warn	78.2587871931	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	30101791.0	pass	warn	warn	46.0	62.3381203978	T035-B1BALRNA-PBmiRNA_S6_R1_001.merged.trimmed.fq.gz	pass	pass
T035-B2BCGBAL-PBmiRNA_S3_R1_001	pass	0.0	pass	73.8473660032	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	58524786.0	pass	warn	pass	42.0	85.1633463659	T035-B2BCGBAL-PBmiRNA_S3_R1_001.merged.trimmed.fq.gz	pass	pass
T035-B2PPDBAL-PBmiRNA_S2_R1_001	pass	0.0	warn	80.0714451512	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	24914161.0	pass	warn	warn	47.0	55.3426281977	T035-B2PPDBAL-PBmiRNA_S2_R1_001.merged.trimmed.fq.gz	pass	pass
T035-B2SalBAL-PBmiRNA_S1_R1_001	pass	0.0	warn	80.1684210471	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	26795974.0	pass	warn	warn	44.0	69.8234145229	T035-B2SalBAL-PBmiRNA_S1_R1_001.merged.trimmed.fq.gz	pass	pass
T036-B1BALRNA-PBmiRNA_S7_R1_001	pass	0.0	warn	80.7616808182	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	29707294.0	pass	warn	warn	46.0	56.9121380479	T036-B1BALRNA-PBmiRNA_S7_R1_001.merged.trimmed.fq.gz	pass	pass
T036-B2S1BAL-PBmiRNA1_S1_R1_001	pass	0.0	warn	81.6751715177	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	32530023.0	pass	warn	warn	46.0	54.3539281008	T036-B2S1BAL-PBmiRNA1_S1_R1_001.merged.trimmed.fq.gz	pass	pass
T036-B2S2BAL-PBmiRNA2_S8_R1_001	pass	0.0	warn	80.7056485793	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	27811719.0	pass	warn	warn	45.0	62.5127309835	T036-B2S2BAL-PBmiRNA2_S8_R1_001.merged.trimmed.fq.gz	pass	pass
T036-B2S3BAL-PBmiRNA3_S9_R1_001	pass	0.0	warn	79.8617191648	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	31347699.0	pass	warn	warn	43.0	69.6416700944	T036-B2S3BAL-PBmiRNA3_S9_R1_001.merged.trimmed.fq.gz	pass	pass
T038-B1BALRNA-PBmiRNA_S25_R1_001	pass	0.0	warn	78.986271946	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	28246538.0	pass	warn	warn	45.0	58.5167507216	T038-B1BALRNA-PBmiRNA_S25_R1_001.merged.trimmed.fq.gz	pass	pass
T038-B2BCGBAL-PLmiRNA_S28_R1_001	pass	0.0	fail	77.8352067443	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	22090188.0	pass	warn	fail	48.0	46.9764458112	T038-B2BCGBAL-PLmiRNA_S28_R1_001.merged.trimmed.fq.gz	pass	pass
T038-B2PPDBAL-PBmiRNA_S27_R1_001	pass	0.0	pass	79.1147360966	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	29022645.0	pass	warn	warn	43.0	71.3178502018	T038-B2PPDBAL-PBmiRNA_S27_R1_001.merged.trimmed.fq.gz	pass	pass
T038-B2SalBAL-PBmiRNA_S26_R1_001	pass	0.0	pass	77.82738511	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	33850892.0	pass	warn	pass	42.0	85.8900646388	T038-B2SalBAL-PBmiRNA_S26_R1_001.merged.trimmed.fq.gz	pass	pass
T039-B1BALRNA-PBmiRNA_S10_R1_001	pass	0.0	warn	80.4518113201	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	27351019.0	pass	warn	warn	44.0	61.1661695549	T039-B1BALRNA-PBmiRNA_S10_R1_001.merged.trimmed.fq.gz	pass	pass
T039-B2BCGBAL-PBmiRNA1_S14_R1_001	pass	0.0	warn	80.4978758193	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	29453003.0	pass	warn	warn	45.0	60.8755356952	T039-B2BCGBAL-PBmiRNA1_S14_R1_001.merged.trimmed.fq.gz	pass	pass
T039-B2BCGBAL-PLmiRNA2_S15_R1_001	pass	0.0	pass	73.2069168672	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	43995582.0	pass	warn	warn	41.0	84.3710906883	T039-B2BCGBAL-PLmiRNA2_S15_R1_001.merged.trimmed.fq.gz	pass	pass
T039-B2PPDBAL-PBmiRNA1_S12_R1_001	pass	0.0	warn	79.3833426082	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	37312132.0	pass	warn	warn	43.0	65.9990124319	T039-B2PPDBAL-PBmiRNA1_S12_R1_001.merged.trimmed.fq.gz	pass	pass
T039-B2PPDBAL-PLmiRNA2_S13_R1_001	pass	0.0	pass	75.5381749502	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	53171962.0	pass	warn	warn	42.0	83.6737991213	T039-B2PPDBAL-PLmiRNA2_S13_R1_001.merged.trimmed.fq.gz	pass	pass
T039-B2SalBAL-PBmiRNA_S11_R1_001	pass	0.0	warn	79.6540568066	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	35775972.0	pass	warn	warn	44.0	63.6632550756	T039-B2SalBAL-PBmiRNA_S11_R1_001.merged.trimmed.fq.gz	pass	pass
T041-B1BALRNA-PBmiRNA_S22_R1_001	pass	0.0	warn	79.2748183156	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	31507376.0	pass	warn	warn	43.0	67.866000485	T041-B1BALRNA-PBmiRNA_S22_R1_001.merged.trimmed.fq.gz	pass	pass
T041-B2BCGBAL-PBmiRNA_S26_R1_001	pass	0.0	warn	79.613178733	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	26458416.0	pass	warn	warn	46.0	53.506537239	T041-B2BCGBAL-PBmiRNA_S26_R1_001.merged.trimmed.fq.gz	pass	pass
T041-B2PPDBAL-PBmiRNA1_S24_R1_001	pass	0.0	warn	77.0306674881	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	31889961.0	pass	warn	warn	45.0	68.1779941259	T041-B2PPDBAL-PBmiRNA1_S24_R1_001.merged.trimmed.fq.gz	pass	pass
T041-B2PPDBAL-PLmiRNA2_S25_R1_001	pass	0.0	pass	75.4066817527	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	50016547.0	pass	warn	warn	43.0	82.8184471654	T041-B2PPDBAL-PLmiRNA2_S25_R1_001.merged.trimmed.fq.gz	pass	pass
T041-B2SalBAL-PBmiRNA_S23_R1_001	pass	0.0	pass	76.330229555	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	46327513.0	pass	warn	warn	43.0	81.1563013846	T041-B2SalBAL-PBmiRNA_S23_R1_001.merged.trimmed.fq.gz	pass	pass
T042-B1BALRNA-PBmiRNA_S6_R1_001	pass	0.0	warn	79.227608465	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	31242867.0	pass	warn	warn	46.0	54.9535128268	T042-B1BALRNA-PBmiRNA_S6_R1_001.merged.trimmed.fq.gz	pass	pass
T042-B2BCGBAL-PBmiRNA_S11_R1_001	pass	0.0	pass	76.5394503346	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	47037928.0	pass	warn	warn	44.0	74.0076684905	T042-B2BCGBAL-PBmiRNA_S11_R1_001.merged.trimmed.fq.gz	pass	pass
T042-B2PPDBAL-PBmiRNA1_S9_R1_001	pass	0.0	pass	78.3273975731	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	34790264.0	pass	warn	warn	43.0	74.2883716843	T042-B2PPDBAL-PBmiRNA1_S9_R1_001.merged.trimmed.fq.gz	pass	pass
T042-B2PPDBAL-PLmiRNA2_S10_R1_001	pass	0.0	pass	80.2623657071	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	35769103.0	pass	warn	warn	42.0	82.9488658125	T042-B2PPDBAL-PLmiRNA2_S10_R1_001.merged.trimmed.fq.gz	pass	pass
T042-B2SalBAL-PBmiRNA1_S7_R1_001	pass	0.0	pass	77.4174044438	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	40085843.0	pass	warn	warn	43.0	73.7755990596	T042-B2SalBAL-PBmiRNA1_S7_R1_001.merged.trimmed.fq.gz	pass	pass
T042-B2SalBAL-PLmiRNA2_S8_R1_001	pass	0.0	pass	77.1103436662	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	33338334.0	pass	warn	warn	43.0	74.5809927629	T042-B2SalBAL-PLmiRNA2_S8_R1_001.merged.trimmed.fq.gz	pass	pass
T045-B1BALRNA-PBmiRNA_S16_R1_001	pass	0.0	warn	78.378478519	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	28741758.0	pass	warn	warn	43.0	69.8026415527	T045-B1BALRNA-PBmiRNA_S16_R1_001.merged.trimmed.fq.gz	pass	pass
T046-B1BALRNA-PBmiRNA_S17_R1_001	pass	0.0	warn	79.4030528473	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	27542026.0	pass	warn	warn	46.0	56.1368995528	T046-B1BALRNA-PBmiRNA_S17_R1_001.merged.trimmed.fq.gz	pass	pass
T047-B1BALRNA-PBmiRNA_S18_R1_001	pass	0.0	warn	80.346405982	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	25260655.0	pass	warn	warn	45.0	60.9723144809	T047-B1BALRNA-PBmiRNA_S18_R1_001.merged.trimmed.fq.gz	pass	pass
T047-B2BCGBAL-PBmiRNA_S21_R1_001	pass	0.0	pass	80.3534883928	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	23852489.0	pass	warn	warn	43.0	71.7801613713	T047-B2BCGBAL-PBmiRNA_S21_R1_001.merged.trimmed.fq.gz	pass	pass
T047-B2PPDBAL-PBmiRNA1_S19_R1_001	pass	0.0	warn	79.9642195751	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	29090711.0	pass	warn	warn	44.0	67.8971377624	T047-B2PPDBAL-PBmiRNA1_S19_R1_001.merged.trimmed.fq.gz	pass	pass
T047-B2PPDBAL-PLmiRNA2_S20_R1_001	pass	0.0	pass	76.6605108466	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	33426470.0	pass	warn	warn	43.0	79.4296590649	T047-B2PPDBAL-PLmiRNA2_S20_R1_001.merged.trimmed.fq.gz	pass	pass
T047-B2SalBAL-PBmiRNA1_S3_R1_001	pass	0.0	fail	79.3245241056	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	27435549.0	pass	warn	warn	49.0	47.6195564717	T047-B2SalBAL-PBmiRNA1_S3_R1_001.merged.trimmed.fq.gz	pass	pass
T047-B2SalBAL-PLmiRNA2_S4_R1_001	pass	0.0	fail	78.667058768	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	28696662.0	pass	warn	warn	50.0	41.991297239	T047-B2SalBAL-PLmiRNA2_S4_R1_001.merged.trimmed.fq.gz	pass	pass
T048-B1BALRNA-PBmiRNA_S22_R1_001	pass	0.0	warn	79.8119231601	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	29893367.0	pass	warn	warn	44.0	61.0225435734	T048-B1BALRNA-PBmiRNA_S22_R1_001.merged.trimmed.fq.gz	pass	pass
T048-B2BCGBAL-PBmiRNA_S24_R1_001	pass	0.0	warn	76.1447513803	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	42082293.0	pass	warn	warn	44.0	64.7108977925	T048-B2BCGBAL-PBmiRNA_S24_R1_001.merged.trimmed.fq.gz	pass	pass
T048-B2PPDBAL-PBmiRNA_S23_R1_001	pass	0.0	warn	78.7901919307	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	35420549.0	pass	warn	warn	44.0	69.9733460141	T048-B2PPDBAL-PBmiRNA_S23_R1_001.merged.trimmed.fq.gz	pass	pass
T048-B2SalBAL-PBmiRNA_S5_R1_001	pass	0.0	warn	80.1786945774	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	30105547.0	pass	warn	warn	46.0	59.6246409285	T048-B2SalBAL-PBmiRNA_S5_R1_001.merged.trimmed.fq.gz	pass	pass
T049-B1BALRNA-PBmiRNA_S2_R1_001	pass	0.0	fail	78.2291156964	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	29024681.0	pass	warn	warn	49.0	42.9438696218	T049-B1BALRNA-PBmiRNA_S2_R1_001.merged.trimmed.fq.gz	pass	pass
T050-B1BALRNA-PBmiRNA1_S27_R1_001	pass	0.0	warn	77.4812112257	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	42447846.0	pass	warn	warn	43.0	64.1490071753	T050-B1BALRNA-PBmiRNA1_S27_R1_001.merged.trimmed.fq.gz	pass	pass
T050-B1BALRNA-PLmiRNA2_S28_R1_001	pass	0.0	warn	78.6404222138	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	34153503.0	pass	warn	warn	41.0	69.7395830204	T050-B1BALRNA-PLmiRNA2_S28_R1_001.merged.trimmed.fq.gz	pass	pass
T051-B1BALRNA-PBmiRNA_S12_R1_001	pass	0.0	warn	76.753824393	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	38284768.0	pass	warn	fail	45.0	55.8477520147	T051-B1BALRNA-PBmiRNA_S12_R1_001.merged.trimmed.fq.gz	pass	pass
T051-B2BCGBAL-PBmiRNA_S16_R1_001	pass	0.0	pass	79.2001547625	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	35964790.0	pass	warn	warn	43.0	71.0110932429	T051-B2BCGBAL-PBmiRNA_S16_R1_001.merged.trimmed.fq.gz	pass	pass
T051-B2PPDBAL-PBmiRNA1_S14_R1_001	pass	0.0	warn	78.8158792889	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	37745922.0	pass	warn	warn	44.0	68.723314564	T051-B2PPDBAL-PBmiRNA1_S14_R1_001.merged.trimmed.fq.gz	pass	pass
T051-B2PPDBAL-PLmiRNA2_S15_R1_001	pass	0.0	pass	75.4641181578	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	44827520.0	pass	warn	warn	43.0	77.1339265772	T051-B2PPDBAL-PLmiRNA2_S15_R1_001.merged.trimmed.fq.gz	pass	pass
T051-B2SalBAL-PBmiRNA_S13_R1_001	pass	0.0	warn	80.2814156996	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	38300301.0	pass	warn	warn	43.0	66.7232551542	T051-B2SalBAL-PBmiRNA_S13_R1_001.merged.trimmed.fq.gz	pass	pass
T052-BALRNA-PBmiRNA1_S4_R1_001	pass	0.0	warn	76.4512388081	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	fail	43952248.0	pass	warn	warn	44.0	69.4857552432	T052-BALRNA-PBmiRNA1_S4_R1_001.merged.trimmed.fq.gz	pass	pass
T052-BALRNA-PLmiRNA2_S5_R1_001	pass	0.0	pass	75.586642575	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	41031681.0	pass	warn	warn	42.0	83.0984613072	T052-BALRNA-PLmiRNA2_S5_R1_001.merged.trimmed.fq.gz	pass	pass
T053-B1BALRNA-PBmiRNA_S29_R1_001	pass	0.0	pass	78.1418252918	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	31047946.0	pass	warn	warn	44.0	74.4712589563	T053-B1BALRNA-PBmiRNA_S29_R1_001.merged.trimmed.fq.gz	pass	pass
T054-B1BALRNA-PBmiRNA_S17_R1_001	pass	0.0	warn	77.8082164182	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	39747125.0	pass	warn	warn	44.0	68.3924075868	T054-B1BALRNA-PBmiRNA_S17_R1_001.merged.trimmed.fq.gz	pass	pass
T054-B2BCGBAL-PBmiRNA_S21_R1_001	pass	0.0	warn	78.3141587422	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	38319774.0	pass	warn	warn	44.0	67.2320245335	T054-B2BCGBAL-PBmiRNA_S21_R1_001.merged.trimmed.fq.gz	pass	pass
T054-B2PPDBAL-PBmiRNA1_S19_R1_001	pass	0.0	pass	77.7449505506	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	41306335.0	pass	warn	warn	43.0	74.5252253972	T054-B2PPDBAL-PBmiRNA1_S19_R1_001.merged.trimmed.fq.gz	pass	pass
T054-B2PPDBAL-PLmiRNA2_S20_R1_001	pass	0.0	warn	78.6323419509	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	39617808.0	pass	warn	warn	44.0	69.6997459414	T054-B2PPDBAL-PLmiRNA2_S20_R1_001.merged.trimmed.fq.gz	pass	pass
T054-B2SalBAL-PBmiRNA_S18_R1_001	pass	0.0	pass	78.6714720613	Sanger / Illumina 1.9	fail	pass	warn	10-85	Conventional base calls	pass	warn	31375432.0	pass	warn	warn	43.0	77.2065811907	T054-B2SalBAL-PBmiRNA_S18_R1_001.merged.trimmed.fq.gz	pass	pass
