Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
T038-B2PPDBAL-PBmiRNA_S27	86.53	2842072.0	18784.0	1.5	1.48	1.59	80.11	0.01	0.54	80.0	2299.0	2798363.0	2819304.0	25114073.0	581084.0	0	0.0	29022645.0	168462	0.01	0.58	9.29	2697206.0	1685.0	461820	2.0
T038-B2SalBAL-PBmiRNA_S26	87.8	1151203.0	8647.0	1.55	1.47	2.29	78.46	0.01	0.62	78.0	1060.0	1105760.0	1139688.0	29721475.0	425914.0	0	0.0	33850892.0	270682	0.01	0.8	7.85	2657993.0	1808.0	774828	1.26
T039-B1BALRNA-PBmiRNA_S10	84.69	3441760.0	21913.0	1.52	1.5	1.55	81.39	0.01	0.5	81.0	2659.0	3399183.0	3415443.0	23162973.0	566656.0	0	0.0	27351019.0	120337	0.01	0.44	11.25	3077140.0	1745.0	423913	2.07
T039-B2BCGBAL-PBmiRNA1_S14	87.12	4476269.0	29366.0	1.53	1.5	1.0	81.1	0.01	0.5	81.0	3427.0	4430158.0	4441300.0	25660193.0	692814.0	0	0.0	29453003.0	79478	0.01	0.27	9.26	2726157.0	2176.0	294361	2.35
T039-B2BCGBAL-PLmiRNA2_S15	87.34	2259714.0	14830.0	1.59	1.44	4.14	73.64	0.01	0.68	74.0	1824.0	2210125.0	2241162.0	38423953.0	530650.0	0	0.0	43995582.0	351711	0.01	0.8	6.52	2869165.0	1898.0	1820103	1.21
T039-B2PPDBAL-PBmiRNA1_S12	86.46	3998239.0	26968.0	1.53	1.47	1.25	79.99	0.01	0.53	80.0	2813.0	3942280.0	3966163.0	32261639.0	827513.0	0	0.0	37312132.0	194711	0.01	0.52	9.54	3560213.0	2295.0	468056	2.22
T039-B2PPDBAL-PLmiRNA2_S13	89.89	1880182.0	13265.0	1.6	1.48	1.56	76.16	0.01	0.6	76.0	1321.0	1823870.0	1864187.0	47797795.0	717921.0	0	0.0	53171962.0	435402	0.01	0.82	6.38	3392517.0	1409.0	828327	1.35
T039-B2SalBAL-PBmiRNA_S11	89.38	3536957.0	24641.0	1.51	1.51	1.23	80.22	0.01	0.54	80.0	2727.0	3487773.0	3507511.0	31976624.0	432777.0	0	0.0	35775972.0	143167	0.01	0.4	7.78	2783165.0	2078.0	440239	1.21
T041-B1BALRNA-PBmiRNA_S22	88.14	2877029.0	19458.0	1.52	1.5	1.48	80.19	0.01	0.46	80.0	2497.0	2833558.0	2853408.0	27771161.0	485501.0	0	0.0	31507376.0	161191	0.01	0.51	8.32	2621753.0	1666.0	467770	1.54
T041-B2BCGBAL-PBmiRNA_S26	77.68	3430556.0	19587.0	1.51	1.45	1.41	81.29	0.01	0.44	80.0	2469.0	3387361.0	3406866.0	20553568.0	963998.0	0	0.0	26458416.0	153490	0.01	0.58	16.68	4414219.0	1634.0	373141	3.64
T041-B2PPDBAL-PBmiRNA1_S24	82.09	3170885.0	20652.0	1.54	1.47	1.6	78.53	0.01	0.53	77.0	2272.0	3122150.0	3146109.0	26177961.0	1102577.0	0	0.0	31889961.0	316458	0.01	0.99	11.86	3781518.0	1852.0	511447	3.46
T041-B2PPDBAL-PLmiRNA2_S25	90.82	1659312.0	13081.0	1.58	1.5	1.34	75.9	0.01	0.55	76.0	1279.0	1611597.0	1643695.0	45423102.0	471213.0	0	0.0	50016547.0	456487	0.01	0.91	5.99	2993555.0	1257.0	672190	0.94
T041-B2SalBAL-PBmiRNA_S23	89.09	2108635.0	14939.0	1.55	1.49	1.55	76.84	0.01	0.55	77.0	1838.0	2060780.0	2090220.0	41271033.0	531243.0	0	0.0	46327513.0	399238	0.01	0.86	7.35	3406441.0	1638.0	719558	1.15
T042-B1BALRNA-PBmiRNA_S6	76.05	3800769.0	22598.0	1.5	1.52	2.15	80.59	0.01	0.5	80.0	2728.0	3746557.0	3773358.0	23761703.0	1329761.0	0	0.0	31242867.0	174726	0.01	0.56	16.98	5305852.0	2085.0	670825	4.26
T042-B2BCGBAL-PBmiRNA_S11	88.12	3786092.0	26047.0	1.52	1.51	1.54	77.2	0.01	0.55	77.0	3084.0	3724193.0	3754411.0	41451170.0	804209.0	0	0.0	47037928.0	329635	0.01	0.7	7.92	3727718.0	2550.0	725196	1.71
T042-B2PPDBAL-PBmiRNA1_S9	86.94	2526055.0	17009.0	1.54	1.51	1.43	79.28	0.01	0.5	79.0	1776.0	2482970.0	2505818.0	30245468.0	741257.0	0	0.0	34790264.0	258110	0.01	0.74	8.76	3046648.0	1452.0	498781	2.13
T042-B2PPDBAL-PLmiRNA2_S10	88.89	1585985.0	11306.0	1.56	1.5	1.97	80.54	0.01	0.53	81.0	1205.0	1532960.0	1571457.0	31794830.0	457161.0	0	0.0	35769103.0	296972	0.01	0.83	7.03	2515280.0	2017.0	704860	1.28
T042-B2SalBAL-PBmiRNA1_S7	89.21	3135949.0	21219.0	1.52	1.5	1.6	77.8	0.01	0.55	78.0	2602.0	3085702.0	3110080.0	35758699.0	404086.0	0	0.0	40085843.0	260869	0.01	0.65	7.53	3020049.0	2048.0	642140	1.01
T042-B2SalBAL-PLmiRNA2_S8	86.58	2838997.0	17911.0	1.54	1.49	1.95	77.75	0.01	0.58	78.0	2274.0	2783761.0	2816180.0	28865349.0	509766.0	0	0.0	33338334.0	243259	0.01	0.73	9.21	3070158.0	2632.0	649802	1.53
T045-B1BALRNA-PBmiRNA_S16	85.82	2730523.0	19179.0	1.49	1.47	3.28	79.41	0.01	0.59	79.0	2321.0	2689941.0	2707379.0	24666980.0	449460.0	0	0.0	28741758.0	175301	0.01	0.61	8.72	2507415.0	1644.0	942602	1.56
T046-B1BALRNA-PBmiRNA_S17	79.55	4245737.0	27239.0	1.47	1.49	1.49	80.78	0.01	0.52	80.0	3401.0	4188978.0	4212810.0	21909150.0	832644.0	0	0.0	27542026.0	153835	0.01	0.56	15.38	4237087.0	2287.0	409310	3.02
T047-B1BALRNA-PBmiRNA_S18	78.95	3114249.0	19806.0	1.49	1.51	3.68	81.46	0.01	0.53	81.0	2462.0	3069195.0	3090190.0	19942732.0	595851.0	0	0.0	25260655.0	126524	0.01	0.5	14.51	3664335.0	1791.0	931213	2.36
T047-B2BCGBAL-PBmiRNA_S21	86.21	2053898.0	14747.0	1.51	1.51	2.36	81.28	0.01	0.52	81.0	1740.0	2016389.0	2036059.0	20562064.0	223271.0	0	0.0	23852489.0	123785	0.01	0.52	9.98	2381576.0	1352.0	561793	0.94
T047-B2PPDBAL-PBmiRNA1_S19	83.91	3118857.0	20856.0	1.53	1.51	1.66	80.52	0.01	0.53	80.0	2200.0	3068662.0	3093870.0	24409098.0	693330.0	0	0.0	29090711.0	180456	0.01	0.62	11.43	3324672.0	1931.0	483155	2.38
T047-B2PPDBAL-PLmiRNA2_S20	87.42	1931745.0	13798.0	1.52	1.48	2.04	77.37	0.01	0.64	77.0	1386.0	1876811.0	1914507.0	29219946.0	525348.0	0	0.0	33426470.0	257909	0.01	0.77	8.2	2739976.0	2054.0	683291	1.57
T047-B2SalBAL-PBmiRNA1_S3	71.72	4422184.0	25860.0	1.5	1.51	2.13	80.65	0.01	0.57	80.0	3200.0	4362870.0	4390568.0	19676059.0	882960.0	0	0.0	27435549.0	181042	0.01	0.66	22.27	6111217.0	2556.0	584271	3.22
T047-B2SalBAL-PLmiRNA2_S4	63.46	3946195.0	21132.0	1.51	1.57	4.3	79.97	0.01	0.67	79.0	2846.0	3867127.0	3918485.0	18209797.0	656401.0	0	0.0	28696662.0	258547	0.01	0.9	29.05	8336636.0	3732.0	1235281	2.29
T048-B1BALRNA-PBmiRNA_S22	85.06	4032233.0	25606.0	1.47	1.49	1.52	80.93	0.01	0.53	80.0	3339.0	3981271.0	4001021.0	25427908.0	507543.0	0	0.0	29893367.0	149986	0.01	0.5	11.21	3351974.0	2267.0	455956	1.7
T048-B2BCGBAL-PBmiRNA_S24	84.77	4086030.0	26726.0	1.48	1.49	1.55	77.68	0.01	0.58	77.0	3400.0	4025773.0	4053522.0	35672838.0	1014267.0	0	0.0	42082293.0	332166	0.01	0.79	10.48	4411305.0	2382.0	651717	2.41
T048-B2PPDBAL-PBmiRNA_S23	87.16	3438614.0	23078.0	1.51	1.48	1.7	79.55	0.01	0.54	79.0	2599.0	3380029.0	3410802.0	30873151.0	542868.0	0	0.0	35420549.0	226611	0.01	0.64	8.97	3175985.0	2135.0	601934	1.53
T048-B2SalBAL-PBmiRNA_S5	75.38	3283723.0	19882.0	1.48	1.53	3.79	80.92	0.01	0.54	81.0	2654.0	3230691.0	3259007.0	22694315.0	753877.0	0	0.0	30105547.0	129586	0.01	0.43	17.89	5385602.0	2180.0	1142167	2.5
T049-B1BALRNA-PBmiRNA_S2	58.19	3296610.0	21677.0	1.49	1.48	16.66	79.63	0.01	0.62	79.0	2702.0	3249269.0	3270226.0	16888768.0	758591.0	0	0.0	29024681.0	214784	0.01	0.74	21.8	6327002.0	2005.0	4835536	2.61
T050-B1BALRNA-PBmiRNA1_S27	90.1	4012615.0	27700.0	1.51	1.52	1.44	77.75	0.01	0.5	78.0	3225.0	3956051.0	3979371.0	38244537.0	249179.0	0	0.0	42447846.0	152555	0.01	0.36	7.52	3191354.0	2319.0	610221	0.59
T050-B1BALRNA-PLmiRNA2_S28	90.99	2698498.0	17683.0	1.53	1.49	1.56	79.18	0.01	0.49	79.0	2147.0	2656911.0	2677058.0	31075072.0	201136.0	0	0.0	34153503.0	183993	0.01	0.54	6.33	2161768.0	1610.0	531534	0.59
T051-B1BALRNA-PBmiRNA_S12	74.84	4312492.0	24970.0	1.5	1.47	1.56	78.45	0.01	0.54	77.0	3140.0	4249768.0	4281906.0	28650666.0	2132665.0	0	0.0	38284768.0	348899	0.01	0.91	17.12	6554425.0	2476.0	598113	5.57
T051-B2BCGBAL-PBmiRNA_S16	89.34	3422413.0	21811.0	1.52	1.48	1.39	79.61	0.01	0.5	80.0	2627.0	3369710.0	3395813.0	32132264.0	327353.0	0	0.0	35964790.0	175889	0.01	0.49	7.87	2830332.0	2162.0	498952	0.91
T051-B2PPDBAL-PBmiRNA1_S14	86.54	3510689.0	24154.0	1.51	1.49	1.48	79.32	0.01	0.51	79.0	2500.0	3451437.0	3481944.0	32663521.0	805459.0	0	0.0	37745922.0	180771	0.01	0.48	9.38	3538795.0	2091.0	557376	2.13
T051-B2PPDBAL-PLmiRNA2_S15	88.73	2396769.0	18362.0	1.53	1.5	1.78	76.14	0.01	0.56	76.0	1724.0	2324061.0	2374632.0	39774843.0	601781.0	0	0.0	44827520.0	362330	0.01	0.81	7.34	3292335.0	2051.0	796231	1.34
T051-B2SalBAL-PBmiRNA_S13	91.0	4095892.0	26742.0	1.5	1.49	1.16	80.52	0.01	0.47	81.0	3193.0	4040269.0	4063740.0	34853922.0	226479.0	0	0.0	38300301.0	106849	0.01	0.28	6.97	2670390.0	2217.0	442661	0.59
T052-BALRNA-PBmiRNA1_S4	84.07	3338628.0	22736.0	1.53	1.52	1.97	77.34	0.01	0.55	77.0	2607.0	3276703.0	3311042.0	36950819.0	1102240.0	0	0.0	43952248.0	360412	0.01	0.82	10.63	4672910.0	2243.0	865867	2.51
T052-BALRNA-PLmiRNA2_S5	86.59	1637190.0	10754.0	1.57	1.48	1.84	76.39	0.01	0.58	76.0	1362.0	1594262.0	1623607.0	35530674.0	936433.0	0	0.0	41031681.0	332336	0.01	0.81	8.47	3477303.0	1467.0	754935	2.28
T053-B1BALRNA-PBmiRNA_S29	87.09	2546622.0	17490.0	1.52	1.51	1.72	78.87	0.01	0.55	79.0	1932.0	2504548.0	2525489.0	27038210.0	588283.0	0	0.0	31047946.0	164727	0.01	0.53	8.77	2722141.0	1711.0	534585	1.89
T054-B1BALRNA-PBmiRNA_S17	87.61	3604653.0	24852.0	1.51	1.51	1.54	78.55	0.01	0.52	78.0	2729.0	3549079.0	3574773.0	34821858.0	675833.0	0	0.0	39747125.0	246532	0.01	0.62	8.53	3390550.0	2299.0	612352	1.7
T054-B2BCGBAL-PBmiRNA_S21	87.91	3881788.0	25631.0	1.5	1.49	1.33	79.07	0.01	0.5	79.0	2907.0	3828905.0	3851129.0	33686344.0	602981.0	0	0.0	38319774.0	207510	0.01	0.54	8.64	3311850.0	2121.0	511089	1.57
T054-B2PPDBAL-PBmiRNA1_S19	88.37	2962184.0	20445.0	1.53	1.49	1.45	78.38	0.01	0.52	78.0	2279.0	2908437.0	2937555.0	36501066.0	683587.0	0	0.0	41306335.0	305408	0.01	0.74	7.79	3217839.0	1905.0	598435	1.65
T054-B2PPDBAL-PLmiRNA2_S20	89.07	3937104.0	26525.0	1.52	1.51	1.59	79.18	0.01	0.51	79.0	2938.0	3863988.0	3904890.0	35287370.0	481456.0	0	0.0	39617808.0	198091	0.01	0.5	7.63	3020963.0	2751.0	629928	1.22
T054-B2SalBAL-PBmiRNA_S18	88.88	2388047.0	16042.0	1.51	1.48	1.98	79.14	0.01	0.53	79.0	2012.0	2337867.0	2367938.0	27886430.0	313103.0	0	0.0	31375432.0	163002	0.01	0.52	7.62	2392236.0	2055.0	620661	1.0
