Sample	with mate mapped to a different chr (mapQ >= 5)_failed	total_failed	duplicates_failed	with mate mapped to a different chr_passed	supplementary_passed	read2_failed	supplementary_failed	with itself and mate mapped_failed	paired in sequencing_failed	with mate mapped to a different chr_failed	total_passed	flagstat_total	paired in sequencing_passed	with itself and mate mapped_passed	duplicates_passed	read2_passed	secondary_failed	secondary_passed	with mate mapped to a different chr (mapQ >= 5)_passed	read1_failed	read1_passed
T042-B2BCGBAL-PBmiRNA_S11.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54712729.0	54712729.0	0.0	0.0	0.0	0.0	0.0	9533841.0	0.0	0.0	0.0
T042-B2PPDBAL-PBmiRNA1_S9.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41328290.0	41328290.0	0.0	0.0	0.0	0.0	0.0	8036174.0	0.0	0.0	0.0
T042-B2PPDBAL-PLmiRNA2_S10.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40858293.0	40858293.0	0.0	0.0	0.0	0.0	0.0	6548183.0	0.0	0.0	0.0
T042-B2SalBAL-PBmiRNA1_S7.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46147352.0	46147352.0	0.0	0.0	0.0	0.0	0.0	7368604.0	0.0	0.0	0.0
T042-B2SalBAL-PLmiRNA2_S8.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39613420.0	39613420.0	0.0	0.0	0.0	0.0	0.0	7677913.0	0.0	0.0	0.0
T045-B1BALRNA-PBmiRNA_S16.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33678648.0	33678648.0	0.0	0.0	0.0	0.0	0.0	6504253.0	0.0	0.0	0.0
T046-B1BALRNA-PBmiRNA_S17.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37807146.0	37807146.0	0.0	0.0	0.0	0.0	0.0	11660909.0	0.0	0.0	0.0
T047-B1BALRNA-PBmiRNA_S18.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32967289.0	32967289.0	0.0	0.0	0.0	0.0	0.0	9360222.0	0.0	0.0	0.0
T047-B2BCGBAL-PBmiRNA_S21.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28488179.0	28488179.0	0.0	0.0	0.0	0.0	0.0	5544539.0	0.0	0.0	0.0
T047-B2PPDBAL-PBmiRNA1_S19.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36765755.0	36765755.0	0.0	0.0	0.0	0.0	0.0	9031985.0	0.0	0.0	0.0
T047-B2PPDBAL-PLmiRNA2_S20.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39017504.0	39017504.0	0.0	0.0	0.0	0.0	0.0	7057582.0	0.0	0.0	0.0
T047-B2SalBAL-PBmiRNA1_S3.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41349376.0	41349376.0	0.0	0.0	0.0	0.0	0.0	15562100.0	0.0	0.0	0.0
T047-B2SalBAL-PLmiRNA2_S4.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45108972.0	45108972.0	0.0	0.0	0.0	0.0	0.0	18562539.0	0.0	0.0	0.0
T048-B1BALRNA-PBmiRNA_S22.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37079807.0	37079807.0	0.0	0.0	0.0	0.0	0.0	8299925.0	0.0	0.0	0.0
T048-B2BCGBAL-PBmiRNA_S24.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51582692.0	51582692.0	0.0	0.0	0.0	0.0	0.0	11498549.0	0.0	0.0	0.0
T048-B2PPDBAL-PBmiRNA_S23.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42026372.0	42026372.0	0.0	0.0	0.0	0.0	0.0	7977236.0	0.0	0.0	0.0
T048-B2SalBAL-PBmiRNA_S5.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41159964.0	41159964.0	0.0	0.0	0.0	0.0	0.0	13080047.0	0.0	0.0	0.0
T049-B1BALRNA-PBmiRNA_S2.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39433187.0	39433187.0	0.0	0.0	0.0	0.0	0.0	16217417.0	0.0	0.0	0.0
T050-B1BALRNA-PBmiRNA1_S27.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49072181.0	49072181.0	0.0	0.0	0.0	0.0	0.0	7636290.0	0.0	0.0	0.0
T050-B1BALRNA-PLmiRNA2_S28.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38194761.0	38194761.0	0.0	0.0	0.0	0.0	0.0	4957921.0	0.0	0.0	0.0
T051-B1BALRNA-PBmiRNA_S12.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53560422.0	53560422.0	0.0	0.0	0.0	0.0	0.0	18355331.0	0.0	0.0	0.0
T051-B2BCGBAL-PBmiRNA_S16.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41609141.0	41609141.0	0.0	0.0	0.0	0.0	0.0	6646545.0	0.0	0.0	0.0
T051-B2PPDBAL-PBmiRNA1_S14.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45779983.0	45779983.0	0.0	0.0	0.0	0.0	0.0	9577667.0	0.0	0.0	0.0
T051-B2PPDBAL-PLmiRNA2_S15.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51433010.0	51433010.0	0.0	0.0	0.0	0.0	0.0	8365832.0	0.0	0.0	0.0
T051-B2SalBAL-PBmiRNA_S13.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43649559.0	43649559.0	0.0	0.0	0.0	0.0	0.0	6125247.0	0.0	0.0	0.0
T052-BALRNA-PBmiRNA1_S4.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54203736.0	54203736.0	0.0	0.0	0.0	0.0	0.0	12580007.0	0.0	0.0	0.0
T052-BALRNA-PLmiRNA2_S5.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48351631.0	48351631.0	0.0	0.0	0.0	0.0	0.0	9343654.0	0.0	0.0	0.0
T053-B1BALRNA-PBmiRNA_S29.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37111012.0	37111012.0	0.0	0.0	0.0	0.0	0.0	7350661.0	0.0	0.0	0.0
T054-B1BALRNA-PBmiRNA_S17.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47010298.0	47010298.0	0.0	0.0	0.0	0.0	0.0	8797890.0	0.0	0.0	0.0
T054-B2BCGBAL-PBmiRNA_S21.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45343660.0	45343660.0	0.0	0.0	0.0	0.0	0.0	8345466.0	0.0	0.0	0.0
T054-B2PPDBAL-PBmiRNA1_S19.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47832405.0	47832405.0	0.0	0.0	0.0	0.0	0.0	8113500.0	0.0	0.0	0.0
T054-B2PPDBAL-PLmiRNA2_S20.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45610816.0	45610816.0	0.0	0.0	0.0	0.0	0.0	7302483.0	0.0	0.0	0.0
T054-B2SalBAL-PBmiRNA_S18.Homo_sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36104517.0	36104517.0	0.0	0.0	0.0	0.0	0.0	5825851.0	0.0	0.0	0.0
